Average polarization				Separate polarizations
Wavelength (nm)	55.00 deg incidence reflectance	65.00 deg incidence reflectance	75.00 deg incidence reflectance	Wavelength (nm)	"p-Intensity, 55.00 deg incidence reflectance"	"s-Intensity, 55.00 deg incidence reflectance"	"p-Intensity, 65.00 deg incidence reflectance"	"s-Intensity, 65.00 deg incidence reflectance"	"p-Intensity, 75 deg incidence reflectance"	"s-Intensity, 75 deg incidence reflectance"
472.23233	0.593437	0.609123	0.528957	472.23233	0.433018	0.753856	0.344934	0.873312	0.155026	0.902888
473.823486	0.593211	0.609801	0.528172	473.823486	0.432193	0.754229	0.345392	0.874211	0.154533	0.901812
475.414642	0.592679	0.609621	0.5278	475.414642	0.432288	0.75307	0.345721	0.873521	0.154292	0.901309
477.005768	0.593399	0.608675	0.527854	477.005768	0.432741	0.754057	0.345052	0.872297	0.154284	0.901425
478.596924	0.592936	0.609228	0.528223	478.596924	0.432511	0.753361	0.345787	0.872669	0.154356	0.90209
480.18808	0.592954	0.610241	0.528209	480.18808	0.432991	0.752917	0.345933	0.87455	0.154512	0.901906
481.779205	0.593732	0.610774	0.527107	481.779205	0.433062	0.754402	0.346453	0.875096	0.154272	0.899942
483.3703	0.595537	0.611867	0.527292	483.3703	0.434415	0.75666	0.347103	0.87663	0.15405	0.900534
484.961487	0.596863	0.612507	0.528352	484.961487	0.435703	0.758023	0.347064	0.87795	0.154424	0.90228
486.552582	0.596361	0.610582	0.527483	486.552582	0.434861	0.757861	0.346045	0.875119	0.154399	0.900568
488.143707	0.595764	0.609856	0.526333	488.143707	0.434126	0.757401	0.345514	0.874198	0.153952	0.898714
489.734802	0.596441	0.611583	0.527009	489.734802	0.435135	0.757746	0.346684	0.876482	0.154023	0.899995
491.325867	0.595995	0.61159	0.527106	491.325867	0.434166	0.757825	0.346143	0.877038	0.154114	0.900098
492.916992	0.595952	0.611851	0.526978	492.916992	0.434697	0.757207	0.34675	0.876951	0.154078	0.899879
494.508057	0.595552	0.611704	0.525828	494.508057	0.434127	0.756977	0.346345	0.877062	0.153591	0.898065
496.099182	0.595454	0.611619	0.525529	496.099182	0.43412	0.756789	0.345967	0.877271	0.153524	0.897534
497.690247	0.595181	0.611028	0.524748	497.690247	0.43368	0.756683	0.345497	0.876558	0.153068	0.896428
499.281311	0.59581	0.611217	0.524986	499.281311	0.43369	0.75793	0.345232	0.877202	0.153268	0.896704
500.872314	0.596673	0.610325	0.524644	500.872314	0.434379	0.758967	0.344741	0.875909	0.153013	0.896274
502.463379	0.596565	0.610651	0.524632	502.463379	0.433916	0.759214	0.34504	0.876261	0.153088	0.896177
504.054382	0.59517	0.610799	0.522974	504.054382	0.433001	0.757338	0.344462	0.877137	0.152581	0.893367
505.645416	0.595997	0.610656	0.523489	505.645416	0.433393	0.7586	0.343897	0.877416	0.152344	0.894633
507.23642	0.594929	0.609701	0.522331	507.23642	0.432187	0.757672	0.343523	0.87588	0.151895	0.892767
508.827454	0.594578	0.609703	0.52196	508.827454	0.432052	0.757104	0.342938	0.876467	0.151613	0.892307
510.418457	0.595336	0.611603	0.522955	510.418457	0.432159	0.758514	0.344207	0.878998	0.152123	0.893787
512.009399	0.595503	0.611105	0.522717	512.009399	0.432153	0.758854	0.343213	0.878997	0.152033	0.893402
513.600403	0.595232	0.610708	0.5224	513.600403	0.431942	0.758523	0.342604	0.878811	0.15172	0.89308
515.191345	0.595589	0.610494	0.523369	515.191345	0.431542	0.759636	0.342588	0.8784	0.151941	0.894797
516.782288	0.594675	0.609905	0.522604	516.782288	0.430673	0.758676	0.34189	0.877919	0.151971	0.893238
518.37323	0.593667	0.60918	0.522113	518.37323	0.429716	0.757619	0.3412	0.877161	0.151484	0.892742
519.964172	0.593499	0.608775	0.522282	519.964172	0.429398	0.7576	0.340248	0.877302	0.151274	0.89329
521.555054	0.592453	0.60846	0.521528	521.555054	0.428421	0.756485	0.339453	0.877467	0.151297	0.891759
523.145935	0.591735	0.60799	0.521224	523.145935	0.427313	0.756157	0.339319	0.876662	0.151329	0.891119
524.736877	0.590516	0.607168	0.51949	524.736877	0.426549	0.754483	0.338121	0.876215	0.150598	0.888382
526.327759	0.589231	0.606335	0.519465	526.327759	0.424946	0.753516	0.337238	0.875431	0.150465	0.888465
527.918579	0.589843	0.606747	0.5199	527.918579	0.425314	0.754371	0.336896	0.876599	0.150379	0.889422
529.509399	0.590121	0.606352	0.518994	529.509399	0.424935	0.755306	0.336482	0.876222	0.150226	0.887762
